address,price,link,bed,bath,sqft,age,gross_taxes_2017,strata_maintenance_fees,area,sub_area,property_type,strata_type,listing_id,primary_broker,features,amenities,school_info,latlng
5023 Payne Street,4188000,https://www.rew.ca/properties/R2220325/5023-payne-street-vancouver-bc,0,0,0,,5413.0,,Vancouver East,Collingwood,Land/Lot,Freehold NonStrata,R2220325,RE/MAX City Realty,MISSING,MISSING,"[{'name': 'Graham Bruce Community Elementary School', 'address': '3633 Tanner St, Vancouver', 'latitude': 49.2423134, 'longitude': -123.0254092, 'grades': 'K - 7', 'category': 'Public', 'distance': '0.5 km'}, {'name': 'Windermere Community Secondary School', 'address': '3155 27th Ave E, Vancouver', 'latitude': 49.2474729, 'longitude': -123.0378463, 'grades': '8 - 12', 'category': 'Public', 'distance': '1.1 km'}, {'name': ""St Mary's School"", 'address': '5239 Joyce St, Vancouver', 'latitude': 49.2375016, 'longitude': -123.0337059, 'grades': 'K - 7', 'category': 'Independent', 'distance': '0.3 km'}, {'name': 'Collingwood Neighbourhood School', 'address': '3417 Euclid Ave, Vancouver', 'latitude': 49.2361809, 'longitude': -123.0325329, 'grades': 'Pre-K, K - 3', 'category': 'Public', 'distance': '0.3 km'}, {'name': 'Vancouver Formosa Academy', 'address': '5621 Killarney St, Vancouver', 'latitude': 49.2337931, 'longitude': -123.0463604, 'grades': '7 - 12', 'category': 'Independent', 'distance': '1.3 km'}, {'name': 'Vancouver Christian School', 'address': '3496 Mons Drive, Vancouver', 'latitude': 49.2552564, 'longitude': -123.0288843, 'grades': 'K - 6', 'category': 'Independent', 'distance': '1.8 km'}, {'name': ""St Jude's School"", 'address': '2953 15th Ave E, Vancouver', 'latitude': 49.2565458, 'longitude': -123.0426267, 'grades': 'K - 7', 'category': 'Independent', 'distance': '2.2 km'}, {'name': 'Avante School', 'address': '202-2830 Grandview Hwy, Vancouver', 'latitude': 49.2578878, 'longitude': -123.0463594, 'grades': '2 - 12', 'category': 'Independent', 'distance': '2.4 km'}, {'name': 'Corpus Christi School', 'address': '6344 Nanaimo St, Vancouver', 'latitude': 49.227045, 'longitude': -123.0590751, 'grades': 'K - 7', 'category': 'Independent', 'distance': '2.5 km'}, {'name': 'Westside Montessori Academy', 'address': '3075 Slocan St, Vancouver', 'latitude': 49.257032, 'longitude': -123.05013, 'grades': 'K - 7', 'category': 'Independent', 'distance': '2.5 km'}]","(49.2396445, -123.029106)"
3252 Clive Avenue,2580000,https://www.rew.ca/properties/R2220994/3252-clive-avenue-vancouver-bc,0,4,2462,29.0,5355.0,,Vancouver East,Collingwood,House,Freehold NonStrata,R2220994,RE/MAX Westcoast,"ClthWsh/Dryr/Frdg/Stve/DW, Refrigerator, Stove",MISSING,"[{'name': 'Sir Wilfred Grenfell School', 'address': '3323 Wellington Ave, Vancouver', 'latitude': 49.2431226, 'longitude': -123.0344902, 'grades': 'Pre-K, K - 7', 'category': 'Public', 'distance': '0.4 km'}, {'name': 'Windermere Community Secondary School', 'address': '3155 27th Ave E, Vancouver', 'latitude': 49.2474729, 'longitude': -123.0378463, 'grades': '8 - 12', 'category': 'Public', 'distance': '0.9 km'}, {'name': ""St Mary's School"", 'address': '5239 Joyce St, Vancouver', 'latitude': 49.2375016, 'longitude': -123.0337059, 'grades': 'K - 7', 'category': 'Independent', 'distance': '0.3 km'}, {'name': 'Collingwood Neighbourhood School', 'address': '3417 Euclid Ave, Vancouver', 'latitude': 49.2361809, 'longitude': -123.0325329, 'grades': 'Pre-K, K - 3', 'category': 'Public', 'distance': '0.4 km'}, {'name': 'Vancouver Formosa Academy', 'address': '5621 Killarney St, Vancouver', 'latitude': 49.2337931, 'longitude': -123.0463604, 'grades': '7 - 12', 'category': 'Independent', 'distance': '1.0 km'}, {'name': 'Vancouver Christian School', 'address': '3496 Mons Drive, Vancouver', 'latitude': 49.2552564, 'longitude': -123.0288843, 'grades': 'K - 6', 'category': 'Independent', 'distance': '1.9 km'}, {'name': ""St Jude's School"", 'address': '2953 15th Ave E, Vancouver', 'latitude': 49.2565458, 'longitude': -123.0426267, 'grades': 'K - 7', 'category': 'Independent', 'distance': '2.0 km'}, {'name': 'Corpus Christi School', 'address': '6344 Nanaimo St, Vancouver', 'latitude': 49.227045, 'longitude': -123.0590751, 'grades': 'K - 7', 'category': 'Independent', 'distance': '2.2 km'}, {'name': 'Avante School', 'address': '202-2830 Grandview Hwy, Vancouver', 'latitude': 49.2578878, 'longitude': -123.0463594, 'grades': '2 - 12', 'category': 'Independent', 'distance': '2.2 km'}, {'name': 'Westside Montessori Academy', 'address': '3075 Slocan St, Vancouver', 'latitude': 49.257032, 'longitude': -123.05013, 'grades': 'K - 7', 'category': 'Independent', 'distance': '2.2 km'}]","(49.2390034, -123.035104)"
3354 Monmouth Avenue,2250000,https://www.rew.ca/properties/R2220859/3354-monmouth-avenue-vancouver-bc,10,7,3263,13.0,5918.0,,Vancouver East,Collingwood,House,Freehold NonStrata,R2220859,Sutton Grp West Coast (Van Cam),"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings",MISSING,"[{'name': 'Sir Wilfred Grenfell School', 'address': '3323 Wellington Ave, Vancouver', 'latitude': 49.2431226, 'longitude': -123.0344902, 'grades': 'Pre-K, K - 7', 'category': 'Public', 'distance': '0.1 km'}, {'name': 'Windermere Community Secondary School', 'address': '3155 27th Ave E, Vancouver', 'latitude': 49.2474729, 'longitude': -123.0378463, 'grades': '8 - 12', 'category': 'Public', 'distance': '0.6 km'}, {'name': ""St Mary's School"", 'address': '5239 Joyce St, Vancouver', 'latitude': 49.2375016, 'longitude': -123.0337059, 'grades': 'K - 7', 'category': 'Independent', 'distance': '0.5 km'}, {'name': 'Collingwood Neighbourhood School', 'address': '3417 Euclid Ave, Vancouver', 'latitude': 49.2361809, 'longitude': -123.0325329, 'grades': 'Pre-K, K - 3', 'category': 'Public', 'distance': '0.7 km'}, {'name': 'Vancouver Formosa Academy', 'address': '5621 Killarney St, Vancouver', 'latitude': 49.2337931, 'longitude': -123.0463604, 'grades': '7 - 12', 'category': 'Independent', 'distance': '1.3 km'}, {'name': 'Vancouver Christian School', 'address': '3496 Mons Drive, Vancouver', 'latitude': 49.2552564, 'longitude': -123.0288843, 'grades': 'K - 6', 'category': 'Independent', 'distance': '1.5 km'}, {'name': ""St Jude's School"", 'address': '2953 15th Ave E, Vancouver', 'latitude': 49.2565458, 'longitude': -123.0426267, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.7 km'}, {'name': 'Avante School', 'address': '202-2830 Grandview Hwy, Vancouver', 'latitude': 49.2578878, 'longitude': -123.0463594, 'grades': '2 - 12', 'category': 'Independent', 'distance': '2.0 km'}, {'name': 'Westside Montessori Academy', 'address': '3075 Slocan St, Vancouver', 'latitude': 49.257032, 'longitude': -123.05013, 'grades': 'K - 7', 'category': 'Independent', 'distance': '2.0 km'}, {'name': 'Corpus Christi School', 'address': '6344 Nanaimo St, Vancouver', 'latitude': 49.227045, 'longitude': -123.0590751, 'grades': 'K - 7', 'category': 'Independent', 'distance': '2.5 km'}]","(49.2396765, -123.0263334)"
605-1211 Melville Street,1899000,https://www.rew.ca/properties/R2229260/605-1211-melville-street-vancouver-bc,3,3,1368,10.0,2897.0,657.0,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,R2229260,Rennie & Associates Realty,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings","Elevator, Exercise Centre, In Suite Laundry, Pool; Indoor, Storage, Swirlpool/Hot Tub","[{'name': 'Lord Roberts Annex', 'address': '1150 Nelson St, Vancouver', 'latitude': 49.2831442, 'longitude': -123.1297377, 'grades': 'K - 3', 'category': 'Public', 'distance': '0.7 km'}, {'name': 'King George Secondary School', 'address': '1755 Barclay St, Vancouver', 'latitude': 49.289913, 'longitude': -123.1360738, 'grades': '8 - 12', 'category': 'Public', 'distance': '0.9 km'}, {'name': 'Lord Roberts Elementary School', 'address': '1100 Bidwell St, Vancouver', 'latitude': 49.2870485, 'longitude': -123.1382331, 'grades': 'K - 7', 'category': 'Public', 'distance': '1.0 km'}, {'name': 'Madrona Senior School', 'address': '530 Hornby St, Vancouver', 'latitude': 49.2853201, 'longitude': -123.1172055, 'grades': '8 - 10', 'category': 'Independent', 'distance': '0.6 km'}, {'name': 'Pattison School', 'address': '981 Nelson St, Vancouver', 'latitude': 49.28081, 'longitude': -123.124916, 'grades': '9 - 12', 'category': 'Independent', 'distance': '0.8 km'}, {'name': 'Alexander Academy', 'address': '688 Hastings St W Suite 200, Vancouver', 'latitude': 49.2847894, 'longitude': -123.1136766, 'grades': '8 - 12', 'category': 'Independent', 'distance': '0.9 km'}, {'name': 'Columbia Academy', 'address': '4th Floor-570 Dunsmuir St, Vancouver', 'latitude': 49.2827046, 'longitude': -123.1153569, 'grades': '10 - 12', 'category': 'Independent', 'distance': '0.9 km'}, {'name': 'Sino Bright School BC', 'address': '300-328 Water St, Vancouver', 'latitude': 49.2843337, 'longitude': -123.108896, 'grades': '8 - 12', 'category': 'Independent', 'distance': '1.2 km'}, {'name': 'Lowell High School', 'address': '210-750 Hamilton St, Vancouver', 'latitude': 49.2790958, 'longitude': -123.1151671, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.2 km'}, {'name': 'Anchor Point Montessori School', 'address': '1351 Hornby St, Vancouver', 'latitude': 49.2769796, 'longitude': -123.130623, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.3 km'}]",MISSING
1801-590 Nicola Street,3799000,https://www.rew.ca/properties/R2228934/1801-590-nicola-street-vancouver-bc,2,2,1461,15.0,7046.0,1002.0,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,R2228934,Rennie & Associates Realty,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Microwave","Bike Room, Exercise Centre, In Suite Laundry, Pool; Indoor, Sauna/Steam Room, Storage","[{'name': 'King George Secondary School', 'address': '1755 Barclay St, Vancouver', 'latitude': 49.289913, 'longitude': -123.1360738, 'grades': '8 - 12', 'category': 'Public', 'distance': '0.6 km'}, {'name': 'Lord Roberts Annex', 'address': '1150 Nelson St, Vancouver', 'latitude': 49.2831442, 'longitude': -123.1297377, 'grades': 'K - 3', 'category': 'Public', 'distance': '0.8 km'}, {'name': 'Lord Roberts Elementary School', 'address': '1100 Bidwell St, Vancouver', 'latitude': 49.2870485, 'longitude': -123.1382331, 'grades': 'K - 7', 'category': 'Public', 'distance': '0.9 km'}, {'name': 'Madrona Senior School', 'address': '530 Hornby St, Vancouver', 'latitude': 49.2853201, 'longitude': -123.1172055, 'grades': '8 - 10', 'category': 'Independent', 'distance': '1.0 km'}, {'name': 'Pattison School', 'address': '981 Nelson St, Vancouver', 'latitude': 49.28081, 'longitude': -123.124916, 'grades': '9 - 12', 'category': 'Independent', 'distance': '1.1 km'}, {'name': 'Alexander Academy', 'address': '688 Hastings St W Suite 200, Vancouver', 'latitude': 49.2847894, 'longitude': -123.1136766, 'grades': '8 - 12', 'category': 'Independent', 'distance': '1.2 km'}, {'name': 'Columbia Academy', 'address': '4th Floor-570 Dunsmuir St, Vancouver', 'latitude': 49.2827046, 'longitude': -123.1153569, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.3 km'}, {'name': 'Anchor Point Montessori School', 'address': '1351 Hornby St, Vancouver', 'latitude': 49.2769796, 'longitude': -123.130623, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.5 km'}, {'name': 'Sino Bright School BC', 'address': '300-328 Water St, Vancouver', 'latitude': 49.2843337, 'longitude': -123.108896, 'grades': '8 - 12', 'category': 'Independent', 'distance': '1.5 km'}, {'name': 'Lowell High School', 'address': '210-750 Hamilton St, Vancouver', 'latitude': 49.2790958, 'longitude': -123.1151671, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.6 km'}]",MISSING
3105-1239 W Georgia Street,2098800,https://www.rew.ca/properties/R2220124/3105-1239-w-georgia-street-vancouver-bc,3,3,1457,18.0,3294.0,712.0,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,R2220124,RE/MAX Masters Realty,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Hot Tub Spa/Swirlpool","Exercise Centre, Garden, Guest Suite, In Suite Laundry, Pool; Indoor, Swirlpool/Hot Tub","[{'name': 'Lord Roberts Annex', 'address': '1150 Nelson St, Vancouver', 'latitude': 49.2831442, 'longitude': -123.1297377, 'grades': 'K - 3', 'category': 'Public', 'distance': '0.6 km'}, {'name': 'King George Secondary School', 'address': '1755 Barclay St, Vancouver', 'latitude': 49.289913, 'longitude': -123.1360738, 'grades': '8 - 12', 'category': 'Public', 'distance': '0.8 km'}, {'name': 'Lord Roberts Elementary School', 'address': '1100 Bidwell St, Vancouver', 'latitude': 49.2870485, 'longitude': -123.1382331, 'grades': 'K - 7', 'category': 'Public', 'distance': '0.9 km'}, {'name': 'Madrona Senior School', 'address': '530 Hornby St, Vancouver', 'latitude': 49.2853201, 'longitude': -123.1172055, 'grades': '8 - 10', 'category': 'Independent', 'distance': '0.7 km'}, {'name': 'Pattison School', 'address': '981 Nelson St, Vancouver', 'latitude': 49.28081, 'longitude': -123.124916, 'grades': '9 - 12', 'category': 'Independent', 'distance': '0.8 km'}, {'name': 'Alexander Academy', 'address': '688 Hastings St W Suite 200, Vancouver', 'latitude': 49.2847894, 'longitude': -123.1136766, 'grades': '8 - 12', 'category': 'Independent', 'distance': '0.9 km'}, {'name': 'Columbia Academy', 'address': '4th Floor-570 Dunsmuir St, Vancouver', 'latitude': 49.2827046, 'longitude': -123.1153569, 'grades': '10 - 12', 'category': 'Independent', 'distance': '0.9 km'}, {'name': 'Lowell High School', 'address': '210-750 Hamilton St, Vancouver', 'latitude': 49.2790958, 'longitude': -123.1151671, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.2 km'}, {'name': 'Anchor Point Montessori School', 'address': '1351 Hornby St, Vancouver', 'latitude': 49.2769796, 'longitude': -123.130623, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.2 km'}, {'name': 'Sino Bright School BC', 'address': '300-328 Water St, Vancouver', 'latitude': 49.2843337, 'longitude': -123.108896, 'grades': '8 - 12', 'category': 'Independent', 'distance': '1.3 km'}]",MISSING
1307-1238 Melville Street,618000,https://www.rew.ca/properties/R2229205/1307-1238-melville-street-vancouver-bc,1,1,572,22.0,1303.0,268.0,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,R2229205,Sutton Grp West Coast (Brdwy),"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Garage Door Opener","Bike Room, Elevator, Exercise Centre, In Suite Laundry, Pool; Indoor, Sauna/Steam Room","[{'name': 'Lord Roberts Annex', 'address': '1150 Nelson St, Vancouver', 'latitude': 49.2831442, 'longitude': -123.1297377, 'grades': 'K - 3', 'category': 'Public', 'distance': '0.7 km'}, {'name': 'King George Secondary School', 'address': '1755 Barclay St, Vancouver', 'latitude': 49.289913, 'longitude': -123.1360738, 'grades': '8 - 12', 'category': 'Public', 'distance': '0.8 km'}, {'name': 'Lord Roberts Elementary School', 'address': '1100 Bidwell St, Vancouver', 'latitude': 49.2870485, 'longitude': -123.1382331, 'grades': 'K - 7', 'category': 'Public', 'distance': '0.9 km'}, {'name': 'Madrona Senior School', 'address': '530 Hornby St, Vancouver', 'latitude': 49.2853201, 'longitude': -123.1172055, 'grades': '8 - 10', 'category': 'Independent', 'distance': '0.7 km'}, {'name': 'Pattison School', 'address': '981 Nelson St, Vancouver', 'latitude': 49.28081, 'longitude': -123.124916, 'grades': '9 - 12', 'category': 'Independent', 'distance': '0.8 km'}, {'name': 'Alexander Academy', 'address': '688 Hastings St W Suite 200, Vancouver', 'latitude': 49.2847894, 'longitude': -123.1136766, 'grades': '8 - 12', 'category': 'Independent', 'distance': '0.9 km'}, {'name': 'Columbia Academy', 'address': '4th Floor-570 Dunsmuir St, Vancouver', 'latitude': 49.2827046, 'longitude': -123.1153569, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.0 km'}, {'name': 'Lowell High School', 'address': '210-750 Hamilton St, Vancouver', 'latitude': 49.2790958, 'longitude': -123.1151671, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.3 km'}, {'name': 'Sino Bright School BC', 'address': '300-328 Water St, Vancouver', 'latitude': 49.2843337, 'longitude': -123.108896, 'grades': '8 - 12', 'category': 'Independent', 'distance': '1.3 km'}, {'name': 'Anchor Point Montessori School', 'address': '1351 Hornby St, Vancouver', 'latitude': 49.2769796, 'longitude': -123.130623, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.3 km'}]",MISSING
TH25-338 Jervis Mews,3988000,https://www.rew.ca/properties/R2222119/th25-338-jervis-mews-vancouver-bc,3,3,2199,14.0,6599.0,1092.0,Vancouver West,Coal Harbour,Townhouse,Freehold Strata,R2222119,Royal Le Page Sussex (W Van),"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Fireplace Insert, Garage Door Opener, Intercom, Microwave, Security System, Sprinkler - Fire","Bike Room, Exercise Centre, In Suite Laundry, Pool; Indoor, Pool; Outdoor, Swirlpool/Hot Tub","[{'name': 'Lord Roberts Annex', 'address': '1150 Nelson St, Vancouver', 'latitude': 49.2831442, 'longitude': -123.1297377, 'grades': 'K - 3', 'category': 'Public', 'distance': '0.9 km'}, {'name': 'King George Secondary School', 'address': '1755 Barclay St, Vancouver', 'latitude': 49.289913, 'longitude': -123.1360738, 'grades': '8 - 12', 'category': 'Public', 'distance': '0.9 km'}, {'name': 'Lord Roberts Elementary School', 'address': '1100 Bidwell St, Vancouver', 'latitude': 49.2870485, 'longitude': -123.1382331, 'grades': 'K - 7', 'category': 'Public', 'distance': '1.1 km'}, {'name': 'Madrona Senior School', 'address': '530 Hornby St, Vancouver', 'latitude': 49.2853201, 'longitude': -123.1172055, 'grades': '8 - 10', 'category': 'Independent', 'distance': '0.7 km'}, {'name': 'Alexander Academy', 'address': '688 Hastings St W Suite 200, Vancouver', 'latitude': 49.2847894, 'longitude': -123.1136766, 'grades': '8 - 12', 'category': 'Independent', 'distance': '0.9 km'}, {'name': 'Columbia Academy', 'address': '4th Floor-570 Dunsmuir St, Vancouver', 'latitude': 49.2827046, 'longitude': -123.1153569, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.0 km'}, {'name': 'Pattison School', 'address': '981 Nelson St, Vancouver', 'latitude': 49.28081, 'longitude': -123.124916, 'grades': '9 - 12', 'category': 'Independent', 'distance': '1.0 km'}, {'name': 'Sino Bright School BC', 'address': '300-328 Water St, Vancouver', 'latitude': 49.2843337, 'longitude': -123.108896, 'grades': '8 - 12', 'category': 'Independent', 'distance': '1.3 km'}, {'name': 'Lowell High School', 'address': '210-750 Hamilton St, Vancouver', 'latitude': 49.2790958, 'longitude': -123.1151671, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.4 km'}, {'name': 'Anchor Point Montessori School', 'address': '1351 Hornby St, Vancouver', 'latitude': 49.2769796, 'longitude': -123.130623, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.5 km'}]",MISSING
TH2-1107 W 7th Avenue,4388000,https://www.rew.ca/properties/R2217482/th2-1107-w-7th-avenue-vancouver-bc,2,3,2507,1.0,,692.0,Vancouver West,Fairview,Townhouse,Freehold Strata,R2217482,RE/MAX Ken Leong,"Air Conditioning, Clothes Washer/Dryer, Dishwasher, Disposal - Waste, Drapes/Window Coverings, Garage Door Opener, Oven-Built In, Range Top, Refrigerator","Air Cond./Central, Bike Room, Elevator, In Suite Laundry","[{'name': 'False Creek Elementary School', 'address': '900 School Green, Vancouver', 'latitude': 49.266696, 'longitude': -123.1267323, 'grades': 'K - 7', 'category': 'Public', 'distance': '0.2 km'}, {'name': 'Kitsilano Secondary School', 'address': '2706 Trafalgar St, Vancouver', 'latitude': 49.262206, 'longitude': -123.164308, 'grades': '8 - 12', 'category': 'Public', 'distance': '2.6 km'}, {'name': 'Blessed Sacrament School', 'address': '3020 Heather St, Vancouver', 'latitude': 49.2583379, 'longitude': -123.1193909, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.1 km'}, {'name': 'Century High School', 'address': '1788 Broadway W Unit 200, Vancouver', 'latitude': 49.2634169, 'longitude': -123.1453266, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.2 km'}, {'name': ""St John's International School"", 'address': '395 Broadway W, Vancouver', 'latitude': 49.2633508, 'longitude': -123.1125357, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.2 km'}, {'name': 'Anchor Point Montessori School', 'address': '1351 Hornby St, Vancouver', 'latitude': 49.2769796, 'longitude': -123.130623, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.3 km'}, {'name': 'Madrona Primary and Junior School', 'address': '2040 West 10th Ave, Vancouver', 'latitude': 49.2627349, 'longitude': -123.1517134, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.7 km'}, {'name': 'Pattison School', 'address': '981 Nelson St, Vancouver', 'latitude': 49.28081, 'longitude': -123.124916, 'grades': '9 - 12', 'category': 'Independent', 'distance': '1.7 km'}, {'name': 'The Westside School', 'address': '788 Beatty St, Vancouver', 'latitude': 49.2775706, 'longitude': -123.1134435, 'grades': 'K - 9', 'category': 'Independent', 'distance': '1.8 km'}, {'name': 'Lowell High School', 'address': '210-750 Hamilton St, Vancouver', 'latitude': 49.2790958, 'longitude': -123.1151671, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.8 km'}]",MISSING
PH-1510 W 6th Avenue,5800000,https://www.rew.ca/properties/R2205000/ph-1510-6-avenue-vancouver-bc,2,3,2378,1.0,14818.0,1702.0,Vancouver West,Fairview,Apt/Condo,Freehold Strata,R2205000,Dexter Associates Realty,"ClthWsh/Dryr/Frdg/Stve/DW, Microwave, Security System, Smoke Alarm, Sprinkler - Inground","Bike Room, Elevator, Garden, In Suite Laundry, Wheelchair Access","[{'name': 'Henry Hudson Elementary School', 'address': '1551 Cypress St, Vancouver', 'latitude': 49.2720412, 'longitude': -123.1483903, 'grades': 'K - 7', 'category': 'Public', 'distance': '0.9 km'}, {'name': 'Kitsilano Secondary School', 'address': '2706 Trafalgar St, Vancouver', 'latitude': 49.262206, 'longitude': -123.164308, 'grades': '8 - 12', 'category': 'Public', 'distance': '1.9 km'}, {'name': 'Century High School', 'address': '1788 Broadway W Unit 200, Vancouver', 'latitude': 49.2634169, 'longitude': -123.1453266, 'grades': '10 - 12', 'category': 'Independent', 'distance': '0.6 km'}, {'name': 'Madrona Primary and Junior School', 'address': '2040 West 10th Ave, Vancouver', 'latitude': 49.2627349, 'longitude': -123.1517134, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.0 km'}, {'name': ""St Augustine's School"", 'address': '2154 7th Ave W, Vancouver', 'latitude': 49.2656318, 'longitude': -123.1545717, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.1 km'}, {'name': ""St John's School"", 'address': '2215 10th Ave W, Vancouver', 'latitude': 49.2629098, 'longitude': -123.1554509, 'grades': 'K - 12', 'category': 'Independent', 'distance': '1.3 km'}, {'name': 'Anchor Point Montessori School', 'address': '1351 Hornby St, Vancouver', 'latitude': 49.2769796, 'longitude': -123.130623, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.3 km'}, {'name': 'Fraser Academy', 'address': '2294 10th Ave W, Vancouver', 'latitude': 49.2626607, 'longitude': -123.157276, 'grades': '2 - 12', 'category': 'Independent', 'distance': '1.4 km'}, {'name': 'Blessed Sacrament School', 'address': '3020 Heather St, Vancouver', 'latitude': 49.2583379, 'longitude': -123.1193909, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.7 km'}, {'name': 'Pattison School', 'address': '981 Nelson St, Vancouver', 'latitude': 49.28081, 'longitude': -123.124916, 'grades': '9 - 12', 'category': 'Independent', 'distance': '1.9 km'}]",MISSING
1901-1328 W Pender Street,999000,https://www.rew.ca/properties/R2225169/1901-1328-w-pender-street-vancouver-bc,2,2,860,15.0,2133.0,0.0,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,R2225169,Century 21 In Town Realty,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Intercom","Bike Room, Exercise Centre, In Suite Laundry, Pool; Indoor, Sauna/Steam Room, Swirlpool/Hot Tub","[{'name': 'Lord Roberts Annex', 'address': '1150 Nelson St, Vancouver', 'latitude': 49.2831442, 'longitude': -123.1297377, 'grades': 'K - 3', 'category': 'Public', 'distance': '0.7 km'}, {'name': 'King George Secondary School', 'address': '1755 Barclay St, Vancouver', 'latitude': 49.289913, 'longitude': -123.1360738, 'grades': '8 - 12', 'category': 'Public', 'distance': '0.7 km'}, {'name': 'Lord Roberts Elementary School', 'address': '1100 Bidwell St, Vancouver', 'latitude': 49.2870485, 'longitude': -123.1382331, 'grades': 'K - 7', 'category': 'Public', 'distance': '0.9 km'}, {'name': 'Madrona Senior School', 'address': '530 Hornby St, Vancouver', 'latitude': 49.2853201, 'longitude': -123.1172055, 'grades': '8 - 10', 'category': 'Independent', 'distance': '0.8 km'}, {'name': 'Pattison School', 'address': '981 Nelson St, Vancouver', 'latitude': 49.28081, 'longitude': -123.124916, 'grades': '9 - 12', 'category': 'Independent', 'distance': '0.9 km'}, {'name': 'Alexander Academy', 'address': '688 Hastings St W Suite 200, Vancouver', 'latitude': 49.2847894, 'longitude': -123.1136766, 'grades': '8 - 12', 'category': 'Independent', 'distance': '1.0 km'}, {'name': 'Columbia Academy', 'address': '4th Floor-570 Dunsmuir St, Vancouver', 'latitude': 49.2827046, 'longitude': -123.1153569, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.1 km'}, {'name': 'Lowell High School', 'address': '210-750 Hamilton St, Vancouver', 'latitude': 49.2790958, 'longitude': -123.1151671, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.4 km'}, {'name': 'Anchor Point Montessori School', 'address': '1351 Hornby St, Vancouver', 'latitude': 49.2769796, 'longitude': -123.130623, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.4 km'}, {'name': 'Sino Bright School BC', 'address': '300-328 Water St, Vancouver', 'latitude': 49.2843337, 'longitude': -123.108896, 'grades': '8 - 12', 'category': 'Independent', 'distance': '1.4 km'}]",MISSING
