address,price,link,subarea,bed,bath,sqft,type,Property Age,Gross Taxes for 2017,Strata Maintenance Fees,Area,Sub-Area/Community,Property Type,Title,Listing ID,Primary Agent,Primary Broker,Features,Amenities
212-168 Powell Street,625000,https://www.rew.ca/properties/R2216763/212-168-powell-street-vancouver-bc,Downtown East ,1,1,755,Apt/Condo,Built in 2009 (9 yrs old),"$1,270",$292,Vancouver East,Downtown East,Apt/Condo,Freehold Strata,R2216763,,Sutton Grp West Coast (Van49),"ClthWsh/Dryr/Frdg/Stve/DW, Disposal - Waste, Drapes/Window Coverings, Garage Door Opener, Intercom","Bike Room, Elevator, Exercise Centre, Garden, In Suite Laundry, Wheelchair Access"
230 Peveril Avenue,3588000,https://www.rew.ca/properties/R2215703/230-peveril-avenue-vancouver-bc,Cambie ,3,1,2181,House,Built in 1942 (76 yrs old),"$8,719",,Vancouver West,Cambie,House,Freehold NonStrata,R2215703,,RE/MAX Select Properties,"Clothes Washer/Dryer, Range Top, Refrigerator",
901-4083 Cambie Street,1788000,https://www.rew.ca/properties/R2220129/901-4083-cambie-street-vancouver-bc,Cambie ,3,2,1280,Apt/Condo,Built in 2017 (1 yrs old),$0,$446,Vancouver West,Cambie,Apt/Condo,Freehold Strata,R2220129,,Sutton Grp West Coast (Van49),"Air Conditioning, Clothes Dryer, Clothes Washer, Dishwasher, Microwave, Refrigerator, Stove","Air Cond./Central, Bike Room, Club House, Exercise Centre, In Suite Laundry, Storage"
420 W 20th Avenue,2398000,https://www.rew.ca/properties/R2217814/420-w-20th-avenue-vancouver-bc,Cambie ,4,1,2258,House,Built in 1929 (89 yrs old),"$7,157",,Vancouver West,Cambie,House,Freehold NonStrata,R2217814,,RE/MAX Real Estate Services,,
110-2390 Mcgill Street,600000,https://www.rew.ca/properties/R2226241/110-2390-mcgill-street-vancouver-bc,Vancouver East All ,1,1,780,Apt/Condo,Built in 1981 (37 yrs old),$771,$374,Vancouver East,Hastings,Apt/Condo,Freehold Strata,R2226241,,Sutton Grp West Coast Realty,ClthWsh/Dryr/Frdg/Stve/DW,"In Suite Laundry, Storage"
6976 Wiltshire Street,10888000,https://www.rew.ca/properties/R2219091/6976-wiltshire-street-vancouver-bc,South Granville ,6,7,6338,House,Built in 2015 (3 yrs old),"$19,286",,Vancouver West,South Granville,House,Freehold NonStrata,R2219091,,Faith Wilson Group,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Microwave, Oven-Built In, Vaulted Ceiling",
1947 W 19th Avenue,8398000,https://www.rew.ca/properties/R2218269/1947-w-19th-avenue-vancouver-bc,Shaughnessy ,5,4,5603,House,Built in 9999 (-7981 yrs old),"$17,599",,Vancouver West,Shaughnessy,House,Freehold NonStrata,R2218269,,Nu Stream Realty Inc.,ClthWsh/Dryr/Frdg/Stve/DW,"Garden, Storage"
1122 W 27th Avenue,5180000,https://www.rew.ca/properties/R2219102/1122-w-27th-avenue-vancouver-bc,Shaughnessy ,5,4,3368,House,Built in 1925 (93 yrs old),"$12,716",,Vancouver West,Shaughnessy,House,Freehold NonStrata,R2219102,,Coldwell Banker Westburn Rlty.,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Jetted Bathtub, Oven-Built In, Range Top, Vaulted Ceiling",
4768 Osler Street,7380000,https://www.rew.ca/properties/R2219151/4768-osler-street-vancouver-bc,Shaughnessy ,5,6,3856,House,Built in 2017 (1 yrs old),"$9,859",,Vancouver West,Shaughnessy,House,Freehold NonStrata,R2219151,,New Coast Realty,"ClthWsh/Dryr/Frdg/Stve/DW, Vacuum R.I.",
501-4900 Cartier Street,2399000,https://www.rew.ca/properties/R2219738/501-4900-cartier-street-vancouver-bc,Shaughnessy ,2,2,2115,Apt/Condo,Built in 1976 (42 yrs old),"$5,105","$1,339",Vancouver West,Shaughnessy,Apt/Condo,Freehold Strata,R2219738,,Macdonald Realty,"Clothes Washer, Dishwasher, Refrigerator, Stove","Club House, Elevator, Garden, In Suite Laundry, Pool; Outdoor, Storage"
4843 Paton Street,5180000,https://www.rew.ca/properties/R2130713/4843-paton-street-vancouver-bc,Quilchena ,4,3,3600,House,Built in 1957 (61 yrs old),,,Vancouver West,Quilchena,House,Freehold NonStrata,R2130713,,New Coast Realty,"ClthWsh/Dryr/Frdg/Stve/DW, Microwave",
4922 Angus Drive,5988000,https://www.rew.ca/properties/R2176185/4922-angus-drive-vancouver-bc,Quilchena ,5,5,3652,House,Built in 2008 (10 yrs old),"$14,940",,Vancouver West,Quilchena,House,Freehold NonStrata,R2176185,,Sutton Grp West Coast (Van49),"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Microwave, Oven-Built In, Security System, Smoke Alarm, Sprinkler - Fire","Garden, Guest Suite, Recreation Center"
204-1020 Harwood Street,828000,https://www.rew.ca/properties/R2223319/204-1020-harwood-street-vancouver-bc,West End ,2,1,899,Apt/Condo,Built in 1988 (30 yrs old),"$1,568",$496,Vancouver West,West End,Apt/Condo,Freehold Strata,R2223319,,Macdonald Realty Manyee Lui,Clothes Washer/Dryer,"Bike Room, Club House, Exercise Centre, Garden, Pool; Outdoor, Swirlpool/Hot Tub"
904-1420 W Georgia Street,679000,https://www.rew.ca/properties/R2223459/904-1420-w-georgia-street-vancouver-bc,West End ,1,1,561,Apt/Condo,Built in 2002 (16 yrs old),"$1,288",$260,Vancouver West,West End,Apt/Condo,Freehold Strata,R2223459,,Sutton Grp West Coast (Van49),"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings","Bike Room, Elevator, Exercise Centre, Garden, In Suite Laundry, Recreation Center"
402-1003 Burnaby Street,700000,https://www.rew.ca/properties/R2223277/402-1003-burnaby-street-vancouver-bc,West End ,1,1,643,Apt/Condo,Built in 1999 (19 yrs old),"$1,349",$386,Vancouver West,West End,Apt/Condo,Freehold Strata,R2223277,,Oakwyn Realty Ltd.,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings","Exercise Centre, In Suite Laundry"
1076 Nicola Street,1280000,https://www.rew.ca/properties/R2224533/1076-nicola-street-vancouver-bc,West End ,2,2,1188,Townhouse,Built in 2016 (2 yrs old),"$3,126",$298,Vancouver West,West End,Townhouse,Freehold Strata,R2224533,,Sutton Grp West Coast (Van Cam),"ClthWsh/Dryr/Frdg/Stve/DW, Disposal - Waste, Free Stand F/P or Wdstove, Garage Door Opener, Microwave",
2806-1408 Strathmore Mews,969000,https://www.rew.ca/properties/R2228734/2806-1408-strathmore-mews-vancouver-bc,Yaletown ,1,1,725,Apt/Condo,Built in 2003 (15 yrs old),"$1,708",$294,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,R2228734,,Century 21 In Town Realty,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Garage Door Opener, Microwave, Smoke Alarm, Windows - Thermo","Bike Room, In Suite Laundry, Pool; Indoor, Recreation Center, Sauna/Steam Room, Swirlpool/Hot Tub"
1502-488 Helmcken Street,649900,https://www.rew.ca/properties/R2229014/1502-488-helmcken-street-vancouver-bc,Yaletown ,2,2,712,Apt/Condo,Built in 1995 (23 yrs old),"$1,408",$380,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,R2229014,,Metro Edge Realty,ClthWsh/Dryr/Frdg/Stve/DW,"Exercise Centre, Sauna/Steam Room"
2301-1201 Marinaside Crescent,1488000,https://www.rew.ca/properties/R2229053/2301-1201-marinaside-crescent-vancouver-bc,Yaletown ,2,2,970,Apt/Condo,Built in 1997 (21 yrs old),"$2,273",$436,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,R2229053,,RE/MAX Crest Realty,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Smoke Alarm, Sprinkler - Fire","Elevator, Exercise Centre, In Suite Laundry, Pool; Indoor, Sauna/Steam Room, Wheelchair Access"
4206-1480 Howe Street,3188000,https://www.rew.ca/properties/R2195047/4206-1480-howe-street-vancouver-bc,Yaletown ,2,3,1332,Apt/Condo,Built in 2019 (-1 yrs old),,$0,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,R2195047,,Virani Real Estate Advisors,ClthWsh/Dryr/Frdg/Stve/DW,"Air Cond./Central, Elevator, Exercise Centre, Pool; Indoor, Pool; Outdoor, Recreation Center"
3106-1480 Howe Street,920000,https://www.rew.ca/properties/R2229220/3106-1480-howe-street-vancouver-bc,Yaletown ,1,1,499,Apt/Condo,Built in 2019 (-1 yrs old),$0,$286,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,R2229220,,Oakwyn Realty Downtown Ltd.,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings","Air Cond./Central, Exercise Centre, Pool; Outdoor"
1502-1480 Howe Street,1088900,https://www.rew.ca/properties/R2197695/1502-1480-howe-street-vancouver-bc,Yaletown ,1,1,585,Apt/Condo,Built in 2019 (-1 yrs old),,$0,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,R2197695,,Virani Real Estate Advisors,ClthWsh/Dryr/Frdg/Stve/DW,"Air Cond./Central, Elevator, Exercise Centre, Pool; Outdoor, Recreation Center"
4608-1480 Howe Street,2450000,https://www.rew.ca/properties/R2198129/4608-1480-howe-street-vancouver-bc,Yaletown ,2,2,1191,Apt/Condo,Built in 2019 (-1 yrs old),$0,$0,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,R2198129,,Century 21 In Town Realty,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Compactor - Garbage, Garage Door Opener, Intercom, Security - RI, Smoke Alarm, Sprinkler - Fire","Air Cond./Central, Bike Room, Exercise Centre, In Suite Laundry, Pool; Outdoor, Sauna/Steam Room"
5606-1480 Howe Street,3788000,https://www.rew.ca/properties/R2212859/5606-1480-howe-street-vancouver-bc,Yaletown ,2,3,1850,Apt/Condo,Built in 2019 (-1 yrs old),,$0,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,R2212859,,Virani Real Estate Advisors,ClthWsh/Dryr/Frdg/Stve/DW,"Air Cond./Central, Exercise Centre, In Suite Laundry, Pool; Outdoor, Recreation Center, Sauna/Steam Room"
2102-583 Beach Crescent,1698900,https://www.rew.ca/properties/R2210239/2102-583-beach-crescent-vancouver-bc,Yaletown ,2,2,1151,Apt/Condo,Built in 2005 (13 yrs old),"$3,585",$520,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,R2210239,,Virani Real Estate Advisors,ClthWsh/Dryr/Frdg/Stve/DW,"Bike Room, Exercise Centre, Guest Suite, Pool; Indoor, Sauna/Steam Room, Swirlpool/Hot Tub"
2305-289 Drake Street,1499000,https://www.rew.ca/properties/R2206949/2305-289-drake-street-vancouver-bc,Yaletown ,2,2,1265,Apt/Condo,Built in 1994 (24 yrs old),"$2,499",$506,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,R2206949,,Virani Real Estate Advisors,ClthWsh/Dryr/Frdg/Stve/DW,"Elevator, Exercise Centre, In Suite Laundry, Pool; Indoor, Sauna/Steam Room, Swirlpool/Hot Tub"
594 W 26th Avenue,5000000,https://www.rew.ca/properties/R2219045/594-w-26th-avenue-vancouver-bc,Cambie ,0,0,0,Land/Lot,,"$10,210",,Vancouver West,Cambie,Land/Lot,Undivided Interest,R2219045,,Colliers International,,
1131 Homer Street,1388000,https://www.rew.ca/properties/R2212968/1131-homer-street-vancouver-bc,Yaletown ,2,2,1129,Townhouse,Built in 2008 (10 yrs old),"$2,547",$434,Vancouver West,Yaletown,Townhouse,Freehold Strata,R2212968,,Sutton Grp West Coast (Brdwy),"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Garage Door Opener","Bike Room, Elevator, Exercise Centre, Garden, In Suite Laundry, Recreation Center"
2202-930 Cambie Street,1200000,https://www.rew.ca/properties/R2215815/2202-930-cambie-street-vancouver-bc,Yaletown ,2,2,1060,Apt/Condo,Built in 1995 (23 yrs old),"$2,085",$516,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,R2215815,,RE/MAX Masters Realty,"ClthWsh/Dryr/Frdg/Stve/DW, Garage Door Opener, Microwave","Bike Room, Exercise Centre, In Suite Laundry, Pool; Indoor, Swirlpool/Hot Tub"
801-1155 Homer Street,1293000,https://www.rew.ca/properties/R2215542/801-1155-homer-street-vancouver-bc,Yaletown ,2,2,1078,Apt/Condo,Built in 1994 (24 yrs old),"$2,006",$442,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,R2215542,,RE/MAX Masters Realty,"ClthWsh/Dryr/Frdg/Stve/DW, Microwave, Smoke Alarm","Bike Room, Elevator, Exercise Centre, In Suite Laundry, Storage"
702-455 Beach Crescent,1598000,https://www.rew.ca/properties/R2217596/702-455-beach-crescent-vancouver-bc,Yaletown ,2,2,1143,Apt/Condo,Built in 2005 (13 yrs old),"$2,851",$514,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,R2217596,,RE/MAX Masters Realty,"ClthWsh/Dryr/Frdg/Stve/DW, Compactor - Garbage, Drapes/Window Coverings, Hot Tub Spa/Swirlpool, Intercom, Microwave, Security System, Smoke Alarm","Club House, Elevator, Exercise Centre, In Suite Laundry, Pool; Indoor, Recreation Center"
920-910 Beach Avenue,798000,https://www.rew.ca/properties/R2220520/920-910-beach-avenue-vancouver-bc,Yaletown ,1,2,716,Townhouse,Built in 1997 (21 yrs old),"$1,321",$431,Vancouver West,Yaletown,Townhouse,Freehold Strata,R2220520,,Engel & Volkers Vancouver,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Garage Door Opener, Microwave","Elevator, Exercise Centre, Garden, In Suite Laundry"
PH1-1480 Howe Street,11888900,https://www.rew.ca/properties/R2218124/ph1-1480-howe-street-vancouver-bc,Yaletown ,2,3,2334,Apt/Condo,Built in 2019 (-1 yrs old),,$0,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,R2218124,,Virani Real Estate Advisors,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Hot Tub Spa/Swirlpool","Air Cond./Central, Bike Room, Club House, Elevator, Pool; Outdoor, Recreation Center"
701-1012 Beach Avenue,5388000,https://www.rew.ca/properties/R2222102/701-1012-beach-avenue-vancouver-bc,Yaletown ,3,4,3532,Apt/Condo,Built in 1991 (27 yrs old),"$10,416","$1,407",Vancouver West,Yaletown,Apt/Condo,Freehold Strata,R2222102,,Macdonald Realty (Van),"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings","Air Cond./Central, Elevator, Exercise Centre, Pool; Indoor, Sauna/Steam Room"
201-921 Thurlow Street,638000,https://www.rew.ca/properties/R2225078/201-921-thurlow-street-vancouver-bc,West End ,1,1,612,Apt/Condo,Built in 1987 (31 yrs old),"$1,178",$306,Vancouver West,West End,Apt/Condo,Freehold Strata,R2225078,,Macdonald Realty Westmar,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Microwave, Windows - Thermo","Elevator, In Suite Laundry"
311-1350 Comox Street,628800,https://www.rew.ca/properties/R2225782/311-1350-comox-street-vancouver-bc,West End ,1,1,646,Apt/Condo,Built in 1982 (36 yrs old),"$1,219",$221,Vancouver West,West End,Apt/Condo,Freehold Strata,R2225782,,Century 21 In Town Realty,"Dishwasher, Drapes/Window Coverings, Refrigerator, Stove","Bike Room, Garden, Shared Laundry"
601-1003 Pacific Street,999000,https://www.rew.ca/properties/R2224644/601-1003-pacific-street-vancouver-bc,West End ,2,2,1061,Apt/Condo,Built in 1998 (20 yrs old),"$1,847",$480,Vancouver West,West End,Apt/Condo,Freehold Strata,R2224644,,Rennie & Associates Realty,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Microwave, Smoke Alarm, Sprinkler - Fire","Bike Room, Guest Suite, In Suite Laundry"
303-1480 Howe Street,650000,https://www.rew.ca/properties/R2226140/303-1480-howe-street-vancouver-bc,Yaletown ,1,1,400,Apt/Condo,Built in 2018 (0 yrs old),$0,$0,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,R2226140,,Oakwyn Realty Ltd.,,"Air Cond./Central, Club House, Elevator, Exercise Centre, In Suite Laundry, Pool; Outdoor"
5205-1480 Howe Street,3688000,https://www.rew.ca/properties/R2159638/5205-1480-howe-street-vancouver-bc,Yaletown ,2,3,1801,Apt/Condo,Built in 2019 (-1 yrs old),,$0,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,R2159638,,Virani Real Estate Advisors,ClthWsh/Dryr/Frdg/Stve/DW,"Air Cond./Central, Exercise Centre, In Suite Laundry, Pool; Outdoor, Recreation Center, Sauna/Steam Room"
2703-1331 Alberni Street,998000,https://www.rew.ca/properties/R2226135/2703-1331-alberni-street-vancouver-bc,West End ,2,2,763,Apt/Condo,Built in 1999 (19 yrs old),"$1,967",$408,Vancouver West,West End,Apt/Condo,Freehold Strata,R2226135,,Nu Stream Realty Inc.,ClthWsh/Dryr/Frdg/Stve/DW,"Elevator, Exercise Centre, Guest Suite, Recreation Center, Storage"
203-1743 Pendrell Street,469000,https://www.rew.ca/properties/R2225933/203-1743-pendrell-street-vancouver-bc,West End ,1,1,665,Apt/Condo,Built in 1955 (63 yrs old),$350,$267,Vancouver West,West End,Apt/Condo,Shares in Co-operative,R2225933,,RE/MAX Real Estate Services,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Microwave, Other - See Remarks, Satellite Dish","Bike Room, In Suite Laundry, Shared Laundry, Storage"
301-1010 Burnaby Street,799000,https://www.rew.ca/properties/R2226108/301-1010-burnaby-street-vancouver-bc,West End ,1,2,880,Apt/Condo,Built in 1991 (27 yrs old),"$1,377",$457,Vancouver West,West End,Apt/Condo,Freehold Strata,R2226108,,Sutton Grp West Coast (Van Cam),ClthWsh/Dryr/Frdg/Stve/DW,"In Suite Laundry, Pool; Outdoor, Recreation Center"
1507-1850 Comox Street,399000,https://www.rew.ca/properties/R2226608/1507-1850-comox-street-vancouver-bc,West End ,1,1,607,Apt/Condo,Built in 1968 (50 yrs old),,$353,Vancouver West,West End,Apt/Condo,Leasehold prepaid-NonStrata,R2226608,,Macdonald Realty,"Refrigerator, Stove","Bike Room, Club House, Elevator, Pool; Indoor, Shared Laundry, Storage"
1955 Alberni Street,2988900,https://www.rew.ca/properties/R2210590/1955-alberni-street-vancouver-bc,West End ,2,3,1857,Townhouse,Built in 2007 (11 yrs old),"$5,705","$1,199",Vancouver West,West End,Townhouse,Freehold Strata,R2210590,,Virani Real Estate Advisors,ClthWsh/Dryr/Frdg/Stve/DW,"Air Cond./Central, Exercise Centre, Pool; Indoor, Sauna/Steam Room, Swirlpool/Hot Tub"
202-1889 Alberni Street,699980,https://www.rew.ca/properties/R2229181/202-1889-alberni-street-vancouver-bc,West End ,0,1,502,Apt/Condo,Built in 1998 (20 yrs old),"$1,308",$309,Vancouver West,West End,Apt/Condo,Freehold Strata,R2229181,,Sutton Grp West Coast (Brdwy),"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Garage Door Opener, Microwave, Smoke Alarm, Sprinkler - Fire","Club House, Elevator, Exercise Centre, In Suite Laundry, Sauna/Steam Room, Wheelchair Access"
201-1230 Comox Street,799000,https://www.rew.ca/properties/R2228068/201-1230-comox-street-vancouver-bc,West End ,2,1,783,Apt/Condo,Built in 1985 (33 yrs old),"$1,520",$403,Vancouver West,West End,Apt/Condo,Freehold Strata,R2228068,,RE/MAX Crest Realty,ClthWsh/Dryr/Frdg/Stve/DW,"Bike Room, Elevator, Garden, In Suite Laundry, Wheelchair Access"
1005-1028 Barclay Street,839000,https://www.rew.ca/properties/R2229287/1005-1028-barclay-street-vancouver-bc,West End ,1,1,780,Apt/Condo,Built in 2011 (7 yrs old),"$1,934",$319,Vancouver West,West End,Apt/Condo,Freehold Strata,R2229287,,Rennie & Associates Realty,"ClthWsh/Dryr/Frdg/Stve/DW, Disposal - Waste, Drapes/Window Coverings, Microwave","Air Cond./Central, Elevator, Exercise Centre, In Suite Laundry, Recreation Center"
204-1835 Morton Avenue,1748800,https://www.rew.ca/properties/R2219618/204-1835-morton-avenue-vancouver-bc,West End ,2,2,1508,Apt/Condo,Built in 1960 (58 yrs old),$200,$986,Vancouver West,West End,Apt/Condo,Shares in Co-operative,R2219618,,RE/MAX Crest Realty,"Clothes Washer/Dryer, Dishwasher","Elevator, Storage"
1104-1221 Bidwell Street,628800,https://www.rew.ca/properties/R2225133/1104-1221-bidwell-street-vancouver-bc,West End ,0,1,415,Apt/Condo,Built in 2013 (5 yrs old),"$1,237",$240,Vancouver West,West End,Apt/Condo,Freehold Strata,R2225133,,Prompton Real Estate Serv.Inc.,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Garage Door Opener, Sprinkler - Fire","Bike Room, Elevator, Exercise Centre, In Suite Laundry"
1806-1200 Alberni Street,1098000,https://www.rew.ca/properties/R2224144/1806-1200-alberni-street-vancouver-bc,West End ,2,2,888,Apt/Condo,Built in 1996 (22 yrs old),"$2,070",$406,Vancouver West,West End,Apt/Condo,Freehold Strata,R2224144,,Angell Hasman & Assoc.Rlty.Ltd,"ClthWsh/Dryr/Frdg/Stve/DW, Microwave","Elevator, Exercise Centre, In Suite Laundry, Recreation Center, Storage"
201-1985 Alberni Street,1499800,https://www.rew.ca/properties/R2223772/201-1985-alberni-street-vancouver-bc,West End ,2,2,956,Apt/Condo,Built in 2007 (11 yrs old),"$2,713",$617,Vancouver West,West End,Apt/Condo,Freehold Strata,R2223772,,Virani Real Estate Advisors,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW","Air Cond./Central, Elevator, Exercise Centre, Pool; Indoor, Sauna/Steam Room, Swirlpool/Hot Tub"
1877 W 37th Avenue,4280000,https://www.rew.ca/properties/R2206692/1877-w-37th-avenue-vancouver-bc,Quilchena ,5,5,2805,House,Built in 2013 (5 yrs old),"$10,035",,Vancouver West,Quilchena,House,Freehold NonStrata,R2206692,,Sutton Group 1st West Realty,"Air Conditioning, Clothes Washer/Dryer, Drapes/Window Coverings, Heat Recov. Vent., Security System, Smoke Alarm, Sprinkler - Fire, Vacuum Blt. In, Wet Bar",
PH607-4101 Yew Street,879000,https://www.rew.ca/properties/R2212863/ph607-4101-yew-street-vancouver-bc,Quilchena ,2,1,1039,Apt/Condo,Built in 1975 (43 yrs old),"$1,553",$404,Vancouver West,Quilchena,Apt/Condo,Freehold Strata,R2212863,,RE/MAX Crest Realty,"Dishwasher, Drapes/Window Coverings, Free Stand F/P or Wdstove, Garage Door Opener, Refrigerator, Stove","Elevator, In Suite Laundry, Pool; Outdoor, Shared Laundry, Storage, Wheelchair Access"
412-2101 Mcmullen Avenue,649900,https://www.rew.ca/properties/R2217738/412-2101-mcmullen-avenue-vancouver-bc,Quilchena ,1,1,822,Apt/Condo,Built in 1974 (44 yrs old),"$1,211",$312,Vancouver West,Quilchena,Apt/Condo,Freehold Strata,R2217738,,Sutton Grp West Coast (W.Blvd),"Refrigerator, Stove",
4310 Maple Street,6380000,https://www.rew.ca/properties/R2213362/4310-maple-street-vancouver-bc,Quilchena ,5,7,4309,House,Built in 2008 (10 yrs old),"$15,556",,Vancouver West,Quilchena,House,Freehold NonStrata,R2213362,,Royal Pacific Realty Corp.,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Garage Door Opener, Security System","Air Cond./Central, Sauna/Steam Room"
220-2083 W 33rd Avenue,698000,https://www.rew.ca/properties/R2219574/220-2083-w-33rd-avenue-vancouver-bc,Quilchena ,1,1,632,Apt/Condo,Built in 2003 (15 yrs old),"$1,400",$267,Vancouver West,Quilchena,Apt/Condo,Freehold Strata,R2219574,,Sutton Grp West Coast (Van Cam),"ClthWsh/Dryr/Frdg/Stve/DW, Disposal - Waste, Smoke Alarm, Sprinkler - Fire","Bike Room, Elevator, Exercise Centre, In Suite Laundry, Pool; Outdoor"
4329 Maple Street,3898000,https://www.rew.ca/properties/R2220428/4329-maple-street-vancouver-bc,Quilchena ,5,3,4229,House,Built in 1965 (53 yrs old),"$12,870",,Vancouver West,Quilchena,House,Freehold NonStrata,R2220428,,Macdonald Realty,,
4213 W 14th Avenue,3070000,https://www.rew.ca/properties/R2220101/4213-w-14th-avenue-vancouver-bc,Point Grey ,3,2,1653,House,Built in 1912 (106 yrs old),"$8,867",,Vancouver West,Point Grey,House,Freehold NonStrata,R2220101,,Coldwell Banker Premier Realty,ClthWsh/Dryr/Frdg/Stve/DW,
210-3639 W 16th Avenue,1898000,https://www.rew.ca/properties/R2218512/210-3639-w-16th-avenue-vancouver-bc,Point Grey ,2,3,1144,Apt/Condo,Built in 2019 (-1 yrs old),,$583,Vancouver West,Point Grey,Apt/Condo,Freehold Strata,R2218512,,Macdonald Realty Westmar,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Microwave, Oven-Built In, Pantry, Range Top","Air Cond./Central, Bike Room, Elevator, Exercise Centre, In Suite Laundry, Storage"
4095 Crown Crescent,5488000,https://www.rew.ca/properties/R2219505/4095-crown-crescent-vancouver-bc,Point Grey ,5,4,4000,House,Built in 1932 (86 yrs old),,,Vancouver West,Point Grey,House,Freehold NonStrata,R2219505,,Macdonald Realty,ClthWsh/Dryr/Frdg/Stve/DW,In Suite Laundry
4232 W 13th Avenue,3680000,https://www.rew.ca/properties/R2216492/4232-w-13th-avenue-vancouver-bc,Point Grey ,4,3,2419,House,Built in 1997 (21 yrs old),"$9,927",,Vancouver West,Point Grey,House,Freehold NonStrata,R2216492,,New Coast Realty,ClthWsh/Dryr/Frdg/Stve/DW,
4172 W 15th Avenue,4480000,https://www.rew.ca/properties/R2220809/4172-w-15th-avenue-vancouver-bc,Point Grey ,5,6,2852,House,Built in 2016 (2 yrs old),"$8,863",,Vancouver West,Point Grey,House,Freehold NonStrata,R2220809,,Sutton Grp West Coast (W.Blvd),"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Heat Recov. Vent., Jetted Bathtub, Security System, Sprinkler - Fire, Sprinkler - Inground, Vacuum Blt. In",Air Cond./Central
4191 W 12th Avenue,3550000,https://www.rew.ca/properties/R2221679/4191-w-12th-avenue-vancouver-bc,Point Grey ,3,3,3386,House,Built in 1982 (36 yrs old),"$10,330",,Vancouver West,Point Grey,House,Freehold NonStrata,R2221679,,Sotheby's Int'l Realty Canada,ClthWsh/Dryr/Frdg/Stve/DW,
4293 W 13th Avenue,4980000,https://www.rew.ca/properties/R2222512/4293-w-13th-avenue-vancouver-bc,Point Grey ,5,3,3010,House,Built in 1926 (92 yrs old),"$12,334",,Vancouver West,Point Grey,House,Freehold NonStrata,R2222512,,Royal Pacific Realty Corp.,ClthWsh/Dryr/Frdg/Stve/DW,
4608 Langara Avenue,8900000,https://www.rew.ca/properties/R2223859/4608-langara-avenue-vancouver-bc,Point Grey ,3,2,2700,House,Built in 1935 (83 yrs old),"$23,146",,Vancouver West,Point Grey,House,Freehold NonStrata,R2223859,,Sutton Grp West Coast (W.Blvd),,
1882 Nanaimo Street,2700000,https://www.rew.ca/properties/R2222630/1882-nanaimo-street-vancouver-bc,Renfrew ,4,4,1902,House,Built in 2006 (12 yrs old),"$4,885",,Vancouver East,Renfrew,House,Freehold NonStrata,R2222630,,Trg The Residential Group Rlty,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Garage Door Opener, Microwave, Smoke Alarm, Sprinkler - Fire",
2863 E 10th Avenue,3500000,https://www.rew.ca/properties/R2224522/2863-e-10th-avenue-vancouver-bc,Renfrew ,5,3,2216,House,Built in 2017 (1 yrs old),"$5,181",,Vancouver East,Renfrew,House,Freehold NonStrata,R2224522,,Oakwyn Realty Ltd.,ClthWsh/Dryr/Frdg/Stve/DW,In Suite Laundry
