address,price,link,subarea,bed,bath,sqft,type,Property Age,Gross Taxes for 2017,Strata Maintenance Fees,Area,Sub-Area/Community,Property Type,Title,Listing ID,Primary Agent,Primary Broker,Features,Amenities
103-975 W 13th Avenue,449900,https://www.rew.ca/properties/R2228267/103-975-w-13th-avenue-vancouver-bc,Fairview ,1,1,591,Apt/Condo,Built in 1983 (35 yrs old),$895,$349,Vancouver West,Fairview,Apt/Condo,Freehold Strata,R2228267,,RE/MAX City Realty,"Dishwasher, Drapes/Window Coverings, Microwave, Refrigerator, Stove","Elevator, Shared Laundry, Storage"
305-1030 W Broadway,599000,https://www.rew.ca/properties/R2228839/305-1030-w-broadway-vancouver-bc,Fairview ,1,1,590,Apt/Condo,Built in 2007 (11 yrs old),"$1,116",$274,Vancouver West,Fairview,Apt/Condo,Freehold Strata,R2228839,,Nu Stream Realty Inc.,ClthWsh/Dryr/Frdg/Stve/DW,"Bike Room, Elevator, Exercise Centre, Garden, In Suite Laundry"
101-1753 West 11th Avenue,2970000,https://www.rew.ca/properties/R2228799/101-1753-west-11th-avenue-vancouver-bc,Fairview ,3,3,1850,Apt/Condo,Built in 2019 (-1 yrs old),,$0,Vancouver West,Fairview,Apt/Condo,Freehold Strata,R2228799,,RE/MAX Select Properties,,"Bike Room, Elevator, In Suite Laundry, Storage, Wheelchair Access"
1002-1438 W 7th Avenue,2500000,https://www.rew.ca/properties/R2229195/1002-1438-w-7th-avenue-vancouver-bc,Fairview ,3,3,2749,Apt/Condo,Built in 1993 (25 yrs old),"$4,525","$1,000",Vancouver West,Fairview,Apt/Condo,Freehold Strata,R2229195,,RE/MAX Crest Realty,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Disposal - Waste, Drapes/Window Coverings, Garage Door Opener, Jetted Bathtub, Refrigerator, Security System, Vacuum R.I.","Elevator, In Suite Laundry, Recreation Center"
PH-1510 W 6th Avenue,5800000,https://www.rew.ca/properties/R2205000/ph-1510-6-avenue-vancouver-bc,Fairview ,2,3,2378,Apt/Condo,Built in 2017 (1 yrs old),"$14,818","$1,702",Vancouver West,Fairview,Apt/Condo,Freehold Strata,R2205000,,Dexter Associates Realty,"ClthWsh/Dryr/Frdg/Stve/DW, Microwave, Security System, Smoke Alarm, Sprinkler - Inground","Bike Room, Elevator, Garden, In Suite Laundry, Wheelchair Access"
PH15-511 W 7th Avenue,868000,https://www.rew.ca/properties/R2228547/ph15-511-w-7th-avenue-vancouver-bc,Fairview ,2,2,940,Apt/Condo,Built in 1996 (22 yrs old),"$1,602",$398,Vancouver West,Fairview,Apt/Condo,Freehold Strata,R2228547,,Sutton Centre Realty,ClthWsh/Dryr/Frdg/Stve/DW,"Bike Room, Garden, Wheelchair Access"
TH2-1107 W 7th Avenue,4388000,https://www.rew.ca/properties/R2217482/th2-1107-w-7th-avenue-vancouver-bc,Fairview ,2,3,2507,Townhouse,Built in 2017 (1 yrs old),,$692,Vancouver West,Fairview,Townhouse,Freehold Strata,R2217482,,RE/MAX Ken Leong,"Air Conditioning, Clothes Washer/Dryer, Dishwasher, Disposal - Waste, Drapes/Window Coverings, Garage Door Opener, Oven-Built In, Range Top, Refrigerator","Air Cond./Central, Bike Room, Elevator, In Suite Laundry"
3947 W 20th Avenue,4388000,https://www.rew.ca/properties/R2226270/3947-w-20th-avenue-vancouver-bc,Dunbar ,5,4,3256,House,Built in 2014 (4 yrs old),"$9,977",,Vancouver West,Dunbar,House,Freehold NonStrata,R2226270,,Sutton Grp West Coast Realty,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Dishwasher, Drapes/Window Coverings, Garage Door Opener, Heat Recov. Vent., Intercom, Security System, Smoke Alarm, Sprinkler - Fire",
4049 W 34th Avenue,4388000,https://www.rew.ca/properties/R2225553/4049-w-34th-avenue-vancouver-bc,Dunbar ,6,3,2904,House,Built in 1931 (87 yrs old),"$12,208",,Vancouver West,Dunbar,House,Freehold NonStrata,R2225553,,RE/MAX Select Properties,"Dishwasher, Microwave, Refrigerator, Stove",
3555 W King Edward Avenue,2699000,https://www.rew.ca/properties/R2226408/3555-w-king-edward-avenue-vancouver-bc,Dunbar ,6,3,2725,House,Built in 1930 (88 yrs old),"$8,164",,Vancouver West,Dunbar,House,Freehold NonStrata,R2226408,,Sutton Grp West Coast (Brdwy),"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Fireplace Insert, Microwave, Smoke Alarm",
3870 W 17th Avenue,2490000,https://www.rew.ca/properties/R2227830/3870-w-17th-avenue-vancouver-bc,Dunbar ,3,2,1500,House,Built in 1925 (93 yrs old),"$6,677",,Vancouver West,Dunbar,House,Freehold NonStrata,R2227830,,RE/MAX Select Properties,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Jetted Bathtub",
3393 W 30th Avenue,3998000,https://www.rew.ca/properties/R2226966/3393-w-30th-avenue-vancouver-bc,Dunbar ,4,6,3119,House,Built in 2015 (3 yrs old),"$8,650",,Vancouver West,Dunbar,House,Freehold NonStrata,R2226966,,Interlink Realty,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Garage Door Opener, Heat Recov. Vent., Security System, Smoke Alarm",Air Cond./Central
3657 W 37th Avenue,4180000,https://www.rew.ca/properties/R2227691/3657-w-37th-avenue-vancouver-bc,Dunbar ,3,3,2784,House,Built in 1927 (91 yrs old),"$12,518",,Vancouver West,Dunbar,House,Freehold NonStrata,R2227691,,New Coast Realty,ClthWsh/Dryr/Frdg/Stve/DW,
3994 W 30th Avenue,4798000,https://www.rew.ca/properties/R2227823/3994-w-30th-avenue-vancouver-bc,Dunbar ,5,2,3266,House,Built in 1930 (88 yrs old),"$12,070",,Vancouver West,Dunbar,House,Freehold NonStrata,R2227823,,Coldwell Banker Westburn Rlty.,ClthWsh/Dryr/Frdg/Stve/DW,
3608 W 35th Avenue,6480000,https://www.rew.ca/properties/R2229191/3608-w-35th-avenue-vancouver-bc,Dunbar ,6,7,4608,House,Built in 2017 (1 yrs old),"$10,377",,Vancouver West,Dunbar,House,Freehold NonStrata,R2229191,,Royal Pacific Realty Corp.,"ClthWsh/Dryr/Frdg/Stve/DW, Security System, Vacuum Blt. In",
3575 W 23rd Avenue,4188000,https://www.rew.ca/properties/R2228602/3575-w-23rd-avenue-vancouver-bc,Dunbar ,4,5,2800,House,Built in 2015 (3 yrs old),"$8,522",,Vancouver West,Dunbar,House,Freehold NonStrata,R2228602,,Maxcel Westcoast Realty Ltd.,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Garage Door Opener, Security System, Smoke Alarm",In Suite Laundry
3533 W 38th Avenue,5588888,https://www.rew.ca/properties/R2229211/3533-w-38th-avenue-vancouver-bc,Dunbar ,6,6,3982,House,Built in 2017 (1 yrs old),"$7,799",,Vancouver West,Dunbar,House,Freehold NonStrata,R2229211,,Team 3000 Realty Ltd. (Van),"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Garage Door Opener, Heat Recov. Vent., Security System, Sprinkler - Fire, Sprinkler - Inground, Vacuum Blt. In, Wet Bar","In Suite Laundry, Sauna/Steam Room"
3930 W 17th Avenue,4280000,https://www.rew.ca/properties/R2229031/3930-w-17th-avenue-vancouver-bc,Dunbar ,5,5,2980,House,Built in 2012 (6 yrs old),"$11,463",,Vancouver West,Dunbar,House,Freehold NonStrata,R2229031,,Luxmore Realty,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Garage Door Opener, Heat Recov. Vent., Security System, Smoke Alarm, Vacuum Blt. In",
601-1690 W 8th Avenue,1148900,https://www.rew.ca/properties/R2220087/601-1690-w-8th-avenue-vancouver-bc,Fairview ,2,2,1007,Apt/Condo,Built in 2008 (10 yrs old),"$2,386",$450,Vancouver West,Fairview,Apt/Condo,Freehold Strata,R2220087,,Virani Real Estate Advisors,ClthWsh/Dryr/Frdg/Stve/DW,"Bike Room, Elevator, Exercise Centre, In Suite Laundry, Playground"
3830 W 20th Avenue,3088000,https://www.rew.ca/properties/R2229395/3830-w-20th-avenue-vancouver-bc,Dunbar ,5,3,2292,House,Built in 1967 (51 yrs old),"$8,807",,Vancouver West,Dunbar,House,Freehold NonStrata,R2229395,,Maxcel Westcoast Realty Ltd.,,
C-1244 W 7th Avenue,1698000,https://www.rew.ca/properties/R2223137/c-1244-w-7th-avenue-vancouver-bc,Fairview ,2,2,1387,Townhouse,Built in 1984 (34 yrs old),"$2,144",$342,Vancouver West,Fairview,Townhouse,Freehold Strata,R2223137,,Faith Wilson Group,ClthWsh/Dryr/Frdg/Stve/DW,In Suite Laundry
1296 W 6th Avenue,1080000,https://www.rew.ca/properties/R2225072/1296-w-6th-avenue-vancouver-bc,Fairview ,2,2,1101,Townhouse,Built in 1982 (36 yrs old),"$2,087",$339,Vancouver West,Fairview,Townhouse,Freehold Strata,R2225072,,Prompton Real Estate Serv.Inc.,"ClthWsh/Dryr/Frdg/Stve/DW, Garage Door Opener, Sprinkler - Fire","In Suite Laundry, Storage"
3608 E Windsor Street,1279000,https://www.rew.ca/properties/R2220851/3608-e-windsor-street-vancouver-bc,Fraser East ,2,3,1383,Townhouse,Built in 2017 (1 yrs old),,$124,Vancouver East,Fraser East,Townhouse,Freehold Strata,R2220851,,RE/MAX City Realty,,
1012 E 20th Avenue,1216950,https://www.rew.ca/properties/R2220844/1012-e-20th-avenue-vancouver-bc,Fraser East ,2,3,1321,Townhouse,Built in 2017 (1 yrs old),"$2,103",$119,Vancouver East,Fraser East,Townhouse,Freehold Strata,R2220844,,RE/MAX City Realty,,
908 E 24th Avenue,2999999,https://www.rew.ca/properties/R2222107/908-e-24th-avenue-vancouver-bc,Fraser East ,5,5,3192,House,Built in 2017 (1 yrs old),"$4,230",,Vancouver East,Fraser East,House,Freehold NonStrata,R2222107,,Macdonald Realty,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Fireplace Insert, Garage Door Opener, Oven-Built In, Security System, Sprinkler - Inground, Vacuum Blt. In, Windows - Thermo",
4547 Elgin Street,1550000,https://www.rew.ca/properties/R2222211/4547-elgin-street-vancouver-bc,Fraser East ,5,3,1990,House,Built in 1988 (30 yrs old),"$5,085",,Vancouver East,Fraser East,House,Freehold NonStrata,R2222211,,RE/MAX Westcoast,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings","In Suite Laundry, Storage"
421 E 48th Avenue,1999000,https://www.rew.ca/properties/R2226493/421-e-48th-avenue-vancouver-bc,Fraser East ,6,3,3066,House,Built in 1976 (42 yrs old),"$5,039",,Vancouver East,Fraser East,House,Freehold NonStrata,R2226493,,Macdonald Realty,"ClthWsh/Dryr/Frdg/Stve/DW, Smoke Alarm, Vaulted Ceiling",
904 E 28th Avenue,1598888,https://www.rew.ca/properties/R2226341/904-e-28th-avenue-vancouver-bc,Fraser East ,4,3,2551,House,Built in 1912 (106 yrs old),"$5,118",,Vancouver East,Fraser East,House,Freehold NonStrata,R2226341,,Sutton Centre Realty,,
4961 Somerville Street,1298000,https://www.rew.ca/properties/R2226454/4961-somerville-street-vancouver-bc,Fraser East ,3,2,1448,House,Built in 1912 (106 yrs old),"$4,052",,Vancouver East,Fraser East,House,Freehold NonStrata,R2226454,,RE/MAX City Realty,,
